Dataset,Best_Fitness,Solution_Gen,Total_Gens,Total_Time,Pop_Size,Mut_Rate,Tour_Size,Div_Perc,Stag_Lim,Cost_Aware,Experiment,Run
bays29,2906.0,907,5000,79.56,3000,0.4,5,20,1000,1,26,1
berlin52,11162.0,1506,5000,78.32,2000,0.3,7,30,1000,0,15,2
eil101,1002.69,4405,5000,142.66,2000,0.3,5,20,2000,1,14,1
eil51,638.1,3971,5000,135.2,2000,0.3,5,20,2000,1,14,1
eil76,832.16,4742,5000,204.78,3000,0.3,7,20,2000,1,24,2
fri26,1283.0,576,5000,28.32,1000,0.2,5,20,1500,1,2,3
gr17,2760.0,607,5000,28.36,1000,0.2,5,20,1500,1,2,3
gr21,7788.0,807,5000,51.5,2000,0.3,7,30,1000,0,15,3
gr24,1806.0,2075,5000,57.26,1000,0.4,5,15,2000,1,8,3
gr48,7282.0,3839,5000,224.76,3000,0.2,5,30,2000,1,20,1
