Experiment,Run,Pop_Size,Mut_Rate,Tour_Size,Div_Perc,Stag_Lim,Cost_Aware,Dataset,Best_Fitness,Solution_Gen,Total_Gens,Total_Time,Time_Per_Gen
2,3,1000,0.2,5,20,1500,1,bays29,3034,1924,5000,46.5889,0.0242021
2,3,1000,0.2,5,20,1500,1,berlin52,11734.9,4217,5000,68.9642,0.01635
2,3,1000,0.2,5,20,1500,1,eil101,1045.66,4130,5000,74.1234,0.0179432
2,3,1000,0.2,5,20,1500,1,eil51,655,2551,5000,57.1203,0.0223825
2,3,1000,0.2,5,20,1500,1,eil76,914.59,2803,5000,61.635,0.0219811
2,3,1000,0.2,5,20,1500,1,fri26,1283,576,5000,28.3192,0.0490801
2,3,1000,0.2,5,20,1500,1,gr17,2760,607,5000,28.3557,0.0466377
2,3,1000,0.2,5,20,1500,1,gr21,8094,2006,5000,47.395,0.0236148
2,3,1000,0.2,5,20,1500,1,gr24,1845,410,5000,25.9398,0.0631138
2,3,1000,0.2,5,20,1500,1,gr48,7551,4814,5000,68.5745,0.0142418
1,2,1000,0.2,3,15,1000,0,bays29,3005,2253,5000,50.4551,0.0223847
1,2,1000,0.2,3,15,1000,0,berlin52,11493.8,4979,5000,75.2102,0.0151025
1,2,1000,0.2,3,15,1000,0,eil101,1077.9,4761,5000,80.6826,0.016943
1,2,1000,0.2,3,15,1000,0,eil51,659.99,2824,5000,59.0934,0.020918
1,2,1000,0.2,3,15,1000,0,eil76,898.07,4856,5000,78.0112,0.0160616
1,2,1000,0.2,3,15,1000,0,fri26,1283,1262,5000,33.5086,0.0265309
1,2,1000,0.2,3,15,1000,0,gr17,2858,828,5000,26.4681,0.0319278
1,2,1000,0.2,3,15,1000,0,gr21,8138,1591,5000,37.9707,0.023851
1,2,1000,0.2,3,15,1000,0,gr24,1893,580,5000,23.4382,0.0403412
1,2,1000,0.2,3,15,1000,0,gr48,7724,3355,5000,65.6621,0.0195656
1,1,1000,0.2,3,15,1000,0,bays29,2955,2047,5000,47.7229,0.0233022
1,1,1000,0.2,3,15,1000,0,berlin52,11857.4,3700,5000,71.6306,0.0193544
1,1,1000,0.2,3,15,1000,0,eil101,1083.5,4953,5000,81.3755,0.0164262
1,1,1000,0.2,3,15,1000,0,eil51,662.3,4041,5000,77.318,0.0191287
1,1,1000,0.2,3,15,1000,0,eil76,913.14,4947,5000,78.797,0.015925
1,1,1000,0.2,3,15,1000,0,fri26,1302,664,5000,24.9436,0.0375092
1,1,1000,0.2,3,15,1000,0,gr17,2760,1148,5000,31.5698,0.0274759
1,1,1000,0.2,3,15,1000,0,gr21,7877,2352,5000,49.5979,0.0210786
1,1,1000,0.2,3,15,1000,0,gr24,1823,1851,5000,42.5474,0.0229738
1,1,1000,0.2,3,15,1000,0,gr48,7689,2011,5000,45.7353,0.0227313
2,1,1000,0.2,5,20,1500,1,bays29,3048,653,5000,31.2311,0.047754
2,1,1000,0.2,5,20,1500,1,berlin52,11892,3937,5000,73.7865,0.018737
2,1,1000,0.2,5,20,1500,1,eil101,1060.47,4552,5000,78.0242,0.0171369
2,1,1000,0.2,5,20,1500,1,eil51,656.93,4613,5000,74.2019,0.0160819
2,1,1000,0.2,5,20,1500,1,eil76,857.06,4278,5000,75.7584,0.0177047
2,1,1000,0.2,5,20,1500,1,fri26,1366,850,5000,34.0419,0.0400023
2,1,1000,0.2,5,20,1500,1,gr17,2760,194,5000,24.248,0.124349
2,1,1000,0.2,5,20,1500,1,gr21,8041,2454,5000,56.9289,0.0231889
2,1,1000,0.2,5,20,1500,1,gr24,1827,454,5000,28.2625,0.0621155
2,1,1000,0.2,5,20,1500,1,gr48,7430,4641,5000,73.0259,0.0157316
2,2,1000,0.2,5,20,1500,1,bays29,2942,2285,5000,54.6246,0.0238953
2,2,1000,0.2,5,20,1500,1,berlin52,11257.7,3202,5000,69.5973,0.0217288
2,2,1000,0.2,5,20,1500,1,eil101,1051.95,4263,5000,78.7088,0.0184589
2,2,1000,0.2,5,20,1500,1,eil51,641.75,3536,5000,74.8099,0.0211507
2,2,1000,0.2,5,20,1500,1,eil76,852.45,4159,5000,76.3118,0.0183442
2,2,1000,0.2,5,20,1500,1,fri26,1320,345,5000,26.8593,0.0776281
2,2,1000,0.2,5,20,1500,1,gr17,2858,399,5000,27.2724,0.068181
2,2,1000,0.2,5,20,1500,1,gr21,8214,848,5000,33.7725,0.0397792
2,2,1000,0.2,5,20,1500,1,gr24,1861,2254,5000,54.0749,0.02398
2,2,1000,0.2,5,20,1500,1,gr48,8013,4222,5000,73.312,0.0173602
1,3,1000,0.2,3,15,1000,0,bays29,3068,1724,5000,42.4307,0.0245975
1,3,1000,0.2,3,15,1000,0,berlin52,11628.5,4733,5000,75.4165,0.0159308
1,3,1000,0.2,3,15,1000,0,eil101,1082.34,4758,5000,80.6999,0.0169573
1,3,1000,0.2,3,15,1000,0,eil51,661.97,3762,5000,73.016,0.0194037
1,3,1000,0.2,3,15,1000,0,eil76,881.12,4990,5000,77.8787,0.0156038
1,3,1000,0.2,3,15,1000,0,fri26,1283,1448,5000,36.0946,0.02491
1,3,1000,0.2,3,15,1000,0,gr17,2760,794,5000,26.1078,0.03284
1,3,1000,0.2,3,15,1000,0,gr21,8674,976,5000,28.9847,0.029667
1,3,1000,0.2,3,15,1000,0,gr24,1886,3678,5000,69.3198,0.018842
1,3,1000,0.2,3,15,1000,0,gr48,7872,4227,5000,74.491,0.0176185
3,1,1000,0.2,7,30,2000,0,bays29,2916,1362,5000,53.3962,0.0391755
3,1,1000,0.2,7,30,2000,0,berlin52,11931.1,3628,5000,77.6383,0.0213939
3,1,1000,0.2,7,30,2000,0,eil101,1067.68,4692,5000,82.6799,0.0176177
3,1,1000,0.2,7,30,2000,0,eil51,686.49,4767,5000,78.5186,0.0164678
3,1,1000,0.2,7,30,2000,0,eil76,864.75,3696,5000,80.8103,0.0218584
3,1,1000,0.2,7,30,2000,0,fri26,1320,1109,5000,47.4036,0.042706
3,1,1000,0.2,7,30,2000,0,gr17,2991,618,5000,39.5706,0.0639267
3,1,1000,0.2,7,30,2000,0,gr21,8300,2189,5000,63.2774,0.0288938
3,1,1000,0.2,7,30,2000,0,gr24,1822,2128,5000,62.8835,0.0295366
3,1,1000,0.2,7,30,2000,0,gr48,7897,4576,5000,75.922,0.0165877
3,2,1000,0.2,7,30,2000,0,bays29,3014,2853,5000,76.8835,0.0269389
3,2,1000,0.2,7,30,2000,0,berlin52,11880.8,1888,5000,60.9238,0.0322519
3,2,1000,0.2,7,30,2000,0,eil101,1053.76,4856,5000,82.8181,0.0170513
3,2,1000,0.2,7,30,2000,0,eil51,645.71,2576,5000,72.5759,0.0281629
3,2,1000,0.2,7,30,2000,0,eil76,883.01,4166,5000,80.4599,0.0193088
3,2,1000,0.2,7,30,2000,0,fri26,1320,917,5000,44.8321,0.0488367
3,2,1000,0.2,7,30,2000,0,gr17,2760,164,5000,33.0026,0.200016
3,2,1000,0.2,7,30,2000,0,gr21,8150,3215,5000,76.337,0.0237366
3,2,1000,0.2,7,30,2000,0,gr24,1823,4427,5000,75.4519,0.0170397
3,2,1000,0.2,7,30,2000,0,gr48,7799,2227,5000,65.214,0.0292702
5,3,1000,0.3,5,30,1000,0,bays29,2948,620,5000,26.8729,0.0432735
5,3,1000,0.3,5,30,1000,0,berlin52,11612,4648,5000,77.7657,0.0167274
5,3,1000,0.3,5,30,1000,0,eil101,1032.29,4416,5000,82.5228,0.018683
5,3,1000,0.3,5,30,1000,0,eil51,656.75,2238,5000,50.2639,0.0224493
5,3,1000,0.3,5,30,1000,0,eil76,890.17,4883,5000,79.952,0.0163702
5,3,1000,0.3,5,30,1000,0,fri26,1302,1003,5000,30.5928,0.0304709
5,3,1000,0.3,5,30,1000,0,gr17,2760,407,5000,21.3019,0.0522106
5,3,1000,0.3,5,30,1000,0,gr21,8409,1442,5000,37.028,0.0256605
5,3,1000,0.3,5,30,1000,0,gr24,1827,1108,5000,31.988,0.028844
5,3,1000,0.3,5,30,1000,0,gr48,7671,1796,5000,43.3482,0.0241225
5,1,1000,0.3,5,30,1000,0,bays29,2989,2514,5000,55.6423,0.0221242
5,1,1000,0.3,5,30,1000,0,berlin52,11271.2,2494,5000,54.2962,0.021762
5,1,1000,0.3,5,30,1000,0,eil101,1073.13,4993,5000,82.7559,0.0165711
5,1,1000,0.3,5,30,1000,0,eil51,682.26,2975,5000,61.7588,0.0207523
5,1,1000,0.3,5,30,1000,0,eil76,914.62,2687,5000,59.2846,0.0220553
5,1,1000,0.3,5,30,1000,0,fri26,1302,1351,5000,35.8684,0.0265298
5,1,1000,0.3,5,30,1000,0,gr17,2858,162,5000,17.5992,0.107971
5,1,1000,0.3,5,30,1000,0,gr21,8954,1280,5000,34.5375,0.0269614
5,1,1000,0.3,5,30,1000,0,gr24,1823,370,5000,20.8392,0.0561703
5,1,1000,0.3,5,30,1000,0,gr48,7390,3345,5000,67.425,0.0201509
5,2,1000,0.3,5,30,1000,0,bays29,3002,1453,5000,39.4219,0.0271128
5,2,1000,0.3,5,30,1000,0,berlin52,11639,1366,5000,36.7092,0.0268539
5,2,1000,0.3,5,30,1000,0,eil101,1040,4774,5000,82.2372,0.0172224
5,2,1000,0.3,5,30,1000,0,eil51,671.81,3265,5000,66.1864,0.0202653
5,2,1000,0.3,5,30,1000,0,eil76,874.6,3454,5000,71.4878,0.0206911
5,2,1000,0.3,5,30,1000,0,fri26,1356,2036,5000,46.1951,0.022678
5,2,1000,0.3,5,30,1000,0,gr17,2760,247,5000,18.8694,0.0760864
5,2,1000,0.3,5,30,1000,0,gr21,8336,1848,5000,43.001,0.0232564
5,2,1000,0.3,5,30,1000,0,gr24,1925,393,5000,21.258,0.0539543
5,2,1000,0.3,5,30,1000,0,gr48,7816,4921,5000,77.2941,0.0157038
6,1,1000,0.3,7,15,1500,1,bays29,3013,2363,5000,54.1167,0.022892
6,1,1000,0.3,7,15,1500,1,berlin52,11476.7,1969,5000,49.7476,0.0252526
6,1,1000,0.3,7,15,1500,1,eil101,1052.32,4539,5000,76.2499,0.0167951
6,1,1000,0.3,7,15,1500,1,eil51,667.69,1784,5000,47.0683,0.0263688
6,1,1000,0.3,7,15,1500,1,eil76,871.96,4420,5000,73.9004,0.0167158
6,1,1000,0.3,7,15,1500,1,fri26,1428,524,5000,28.5256,0.0543344
6,1,1000,0.3,7,15,1500,1,gr17,2760,267,5000,24.6802,0.0920904
6,1,1000,0.3,7,15,1500,1,gr21,8489,2342,5000,53.6447,0.0228957
6,1,1000,0.3,7,15,1500,1,gr24,1845,2558,5000,57.2626,0.0223769
6,1,1000,0.3,7,15,1500,1,gr48,7796,4643,5000,71.1231,0.0153151
4,2,1000,0.3,3,20,2000,1,bays29,2926,1356,5000,48.1237,0.0354633
4,2,1000,0.3,3,20,2000,1,berlin52,11614.1,3559,5000,72.8994,0.0204774
